[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-b-12.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-b-12.js: testResult[1] Expected SameValue(«undefined», «false») to be true
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-4-11.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-4-11.js: Expected a Test262Error but got a TypeError
[FAIL 1] built-ins/Array/length/define-own-prop-length-coercion-order-set.js | Exception in /tmp/repro_built-ins__Array__length__define-own-prop-length-coercion-order-set.js: `"use strict"; array.length = length` throws a TypeError exception Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/every/callbackfn-resize-arraybuffer.js | Exception in /tmp/repro_built-ins__Array__prototype__every__callbackfn-resize-arraybuffer.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-c-i-33.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-c-i-33.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/entries/resizable-buffer-grow-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__entries__resizable-buffer-grow-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-9-b-27.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-9-b-27.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/methods-called-as-functions.js | Exception in /tmp/repro_built-ins__Array__prototype__methods-called-as-functions.js: entries Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/includes/resizable-buffer-special-float-values.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__resizable-buffer-special-float-values.js: Expected true but got false
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-4-9.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-4-9.js: accessed !== true
[FAIL 1] built-ins/Array/prototype/filter/create-proto-from-ctor-realm-non-array.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__create-proto-from-ctor-realm-non-array.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/includes/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__resizable-buffer.js: Expected true but got false
