[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-291.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-291.js: Expected obj[0] to be writable, but was not.
[FAIL 1] built-ins/Date/prototype/toISOString/15.9.5.43-0-5.js | Exception in /tmp/repro_built-ins__Date__prototype__toISOString__15.9.5.43-0-5.js: TypeError: function is not a constructor
[FAIL 1] built-ins/JSON/parse/reviver-context-source-object-literal.js | Exception in /tmp/repro_built-ins__JSON__parse__reviver-context-source-object-literal.js: context should be an object Expected SameValue(«"undefined"», «"object"») to be true
[FAIL 1] built-ins/Array/prototype/lastIndexOf/15.4.4.15-8-a-16.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__15.4.4.15-8-a-16.js: arr.lastIndexOf(1) Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/StringIteratorPrototype/next/name.js | Exception in /tmp/repro_built-ins__StringIteratorPrototype__next__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Date/prototype/getMilliseconds/this-value-invalid-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getMilliseconds__this-value-invalid-date.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/reject/ctx-non-ctor.js | Exception in /tmp/repro_built-ins__Promise__reject__ctx-non-ctor.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Function/prototype/S15.3.5.2_A1_T2.js | Exception in /tmp/repro_built-ins__Function__prototype__S15.3.5.2_A1_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/S15.9.5_A31_T1.js | Exception in /tmp/repro_built-ins__Date__prototype__S15.9.5_A31_T1.js: TypeError: is not a function
[FAIL 1] built-ins/Object/prototype/toLocaleString/primitive_this_value_getter.js | Exception in /tmp/repro_built-ins__Object__prototype__toLocaleString__primitive_this_value_getter.js: Expected SameValue(«"true"», «"boolean"») to be true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-272.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-272.js: Expected obj[0] to be writable, but was not.
[FAIL 1] built-ins/JSON/stringify/replacer-array-abrupt.js | Exception in /tmp/repro_built-ins__JSON__stringify__replacer-array-abrupt.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/15.3.5.4_2-3gs.js | Exception in /tmp/repro_built-ins__Function__15.3.5.4_2-3gs.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/JSON/parse/reviver-object-own-keys-err.js | Exception in /tmp/repro_built-ins__JSON__parse__reviver-object-own-keys-err.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/keys/iteration-mutable.js | Exception in /tmp/repro_built-ins__Array__prototype__keys__iteration-mutable.js: Exhausted result `done` flag (after push) Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Date/prototype/toJSON/not-a-constructor.js | Exception in /tmp/repro_built-ins__Date__prototype__toJSON__not-a-constructor.js: isConstructor invoked with a non-function value
[FAIL 1] built-ins/Date/prototype/toLocaleTimeString/length.js | Exception in /tmp/repro_built-ins__Date__prototype__toLocaleTimeString__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Promise/allSettled/resolved-sequence-extra-ticks.js | Exception in /tmp/repro_built-ins__Promise__allSettled__resolved-sequence-extra-ticks.js: Expected SameValue(«2», «4») to be true
